round,seed,condition,algorithm,selection_mode,selection_budget,agent_id,selection_score,selected_for_aggregation
33,41,standard,fedadagrad,error_low,4,6,0.4170955876734266,1
33,41,standard,fedadagrad,error_low,4,7,4.286128157206516,0
34,41,standard,fedadagrad,error_low,4,0,0.6846495190226491,0
34,41,standard,fedadagrad,error_low,4,1,0.1223522304287648,1
34,41,standard,fedadagrad,error_low,4,2,0.2787483882033985,1
34,41,standard,fedadagrad,error_low,4,3,0.7521505148390195,0
34,41,standard,fedadagrad,error_low,4,4,0.2836301922325411,0
34,41,standard,fedadagrad,error_low,4,5,0.168313245062049,1
34,41,standard,fedadagrad,error_low,4,6,0.3715813745224746,0
34,41,standard,fedadagrad,error_low,4,7,0.2107815072414074,1
35,41,standard,fedadagrad,error_low,4,0,0.6786195355220825,0
35,41,standard,fedadagrad,error_low,4,1,0.222327445491409,1
35,41,standard,fedadagrad,error_low,4,2,0.3674190778535708,0
35,41,standard,fedadagrad,error_low,4,3,0.4015364155229446,0
35,41,standard,fedadagrad,error_low,4,4,0.2329414489790129,1
35,41,standard,fedadagrad,error_low,4,5,0.2793870746027213,1
35,41,standard,fedadagrad,error_low,4,6,0.382490869759329,0
35,41,standard,fedadagrad,error_low,4,7,0.146634002897634,1
36,41,standard,fedadagrad,error_low,4,0,0.6274945166691402,0
36,41,standard,fedadagrad,error_low,4,1,0.1667020855397662,1
36,41,standard,fedadagrad,error_low,4,2,0.9712652016867952,0
36,41,standard,fedadagrad,error_low,4,3,0.5751757887241822,0
36,41,standard,fedadagrad,error_low,4,4,0.2834905871494209,1
36,41,standard,fedadagrad,error_low,4,5,0.2453813136069744,1
36,41,standard,fedadagrad,error_low,4,6,0.4016111398642034,0
36,41,standard,fedadagrad,error_low,4,7,0.1937426190352194,1
37,41,standard,fedadagrad,error_low,4,0,0.6865767382277548,0
37,41,standard,fedadagrad,error_low,4,1,0.1114227849685662,1
37,41,standard,fedadagrad,error_low,4,2,0.3658241704658187,0
37,41,standard,fedadagrad,error_low,4,3,0.6355707503269504,0
37,41,standard,fedadagrad,error_low,4,4,0.2246320352756557,1
37,41,standard,fedadagrad,error_low,4,5,0.264058645820639,1
37,41,standard,fedadagrad,error_low,4,6,0.5452895633013228,0
37,41,standard,fedadagrad,error_low,4,7,0.1269013611278331,1
38,41,standard,fedadagrad,error_low,4,0,0.658615879015038,0
38,41,standard,fedadagrad,error_low,4,1,0.1148277200771506,1
38,41,standard,fedadagrad,error_low,4,2,0.8316374022760828,0
38,41,standard,fedadagrad,error_low,4,3,0.5804689120097931,0
38,41,standard,fedadagrad,error_low,4,4,0.3229693015054796,1
38,41,standard,fedadagrad,error_low,4,5,0.1954478021038541,1
38,41,standard,fedadagrad,error_low,4,6,0.4712088503395201,0
38,41,standard,fedadagrad,error_low,4,7,0.1251857862607593,1
39,41,standard,fedadagrad,error_low,4,0,0.7542441019258384,0
39,41,standard,fedadagrad,error_low,4,1,0.172202357150684,1
39,41,standard,fedadagrad,error_low,4,2,0.4463627634208622,0
39,41,standard,fedadagrad,error_low,4,3,0.5243485574759125,0
39,41,standard,fedadagrad,error_low,4,4,0.4007615835062066,1
39,41,standard,fedadagrad,error_low,4,5,0.16301110745878,1
39,41,standard,fedadagrad,error_low,4,6,0.4541769238047298,0
39,41,standard,fedadagrad,error_low,4,7,0.1769295026117073,1
40,41,standard,fedadagrad,error_low,4,0,0.5067207790214283,0
40,41,standard,fedadagrad,error_low,4,1,0.1143568115119386,1
40,41,standard,fedadagrad,error_low,4,2,0.4206075233508107,0
40,41,standard,fedadagrad,error_low,4,3,0.748379965442958,0
40,41,standard,fedadagrad,error_low,4,4,0.2324188293728291,1
40,41,standard,fedadagrad,error_low,4,5,0.2413518698509413,1
40,41,standard,fedadagrad,error_low,4,6,0.3780916620328727,0
40,41,standard,fedadagrad,error_low,4,7,0.2191709110549956,1
41,41,standard,fedadagrad,error_low,4,0,1.922142274686972,0
41,41,standard,fedadagrad,error_low,4,1,0.1100669992563089,1
41,41,standard,fedadagrad,error_low,4,2,0.954600990579236,0
41,41,standard,fedadagrad,error_low,4,3,0.2484200462071795,1
41,41,standard,fedadagrad,error_low,4,4,0.2821224551462552,1
41,41,standard,fedadagrad,error_low,4,5,0.1341022218304608,1
41,41,standard,fedadagrad,error_low,4,6,0.3689655847454715,0
41,41,standard,fedadagrad,error_low,4,7,0.3012697081176375,0
42,41,standard,fedadagrad,error_low,4,0,1.3863912182342912,0
42,41,standard,fedadagrad,error_low,4,1,0.1381095582832601,1
42,41,standard,fedadagrad,error_low,4,2,0.7603557172163667,0
42,41,standard,fedadagrad,error_low,4,3,0.5897091572029081,0
42,41,standard,fedadagrad,error_low,4,4,0.3419939058291137,1
42,41,standard,fedadagrad,error_low,4,5,0.2998028704164998,1
42,41,standard,fedadagrad,error_low,4,6,0.4079496465055778,0
42,41,standard,fedadagrad,error_low,4,7,0.1457952868120506,1
43,41,standard,fedadagrad,error_low,4,0,0.7977505745330452,0
43,41,standard,fedadagrad,error_low,4,1,0.2330584725008238,1
43,41,standard,fedadagrad,error_low,4,2,0.4007433067813651,0
43,41,standard,fedadagrad,error_low,4,3,0.5387580579091917,0
43,41,standard,fedadagrad,error_low,4,4,0.2347632712535828,1
43,41,standard,fedadagrad,error_low,4,5,0.157620294121198,1
